created_at,favorite_count,id_str,in_reply_to_user_id_str,is_retweet,retweet_count,source,text
Fri Feb 24 00:06:44 +0000 2017,58140,834917440450609152,,False,8265,Twitter for Android,Big interview tonight by Henry Kravis at The Business Council of Washington. Looking forward to it!
Fri Feb 24 00:01:40 +0000 2017,108261,834916167177371648,,False,23171,Twitter for Android,Seven people shot and killed yesterday in Chicago. What is going on there - totally out of control. Chicago needs help!
Thu Feb 23 22:53:45 +0000 2017,56246,834899071982841856,,False,10563,Twitter for iPhone,'S&amp;P 500 Edges Higher After Trump Renews Jobs Pledge' https://t.co/WtrRJVFmvU
Wed Feb 22 12:50:56 +0000 2017,116640,834384982495940613,,False,16220,Twitter for Android,Very much enjoyed my tour of the Smithsonian's National Museum of African American History and Culture...A great job done by amazing people!
Wed Feb 22 12:20:40 +0000 2017,79330,834377364947816448,,False,12132,Twitter for Android,"One thing I will say about Rep. Keith Ellison, in his fight to lead the DNC, is that he was the one who predicted early that I would win!"
Tue Feb 21 23:23:13 +0000 2017,118125,834181712783560705,,False,26055,Twitter for Android,"The so-called angry crowds in home districts of some Republicans are actually, in numerous cases, planned out by liberal activists. Sad!"
Tue Feb 21 20:46:42 +0000 2017,106937,834142323881684993,,False,23693,Twitter for iPhone,'Americans overwhelmingly oppose sanctuary cities' https://t.co/s5QvsJWA6u
Tue Feb 21 00:38:40 +0000 2017,94069,833838311315763200,,False,16021,Twitter for iPhone,"Congratulations to our new National Security Advisor, General H.R. McMaster. Video: https://t.co/BKn9r225Kk https://t.co/VBXcJ1b6Pv"
Mon Feb 20 21:00:37 +0000 2017,106326,833783438922629125,,False,15766,Twitter for Android,Just named General H.R. McMaster National Security Advisor.
Mon Feb 20 19:33:35 +0000 2017,97,833761537525444608,,False,33,Twitter for Android,Meeting with Generals at Mar-a-Lago in Florida. Very interesting!
Mon Feb 20 14:33:33 +0000 2017,242519,833686030679207936,,False,48802,Twitter for Android,HAPPY PRESIDENTS DAY - MAKE AMERICA GREAT AGAIN!
Mon Feb 20 14:15:42 +0000 2017,140919,833681539997253636,,False,34840,Twitter for Android,Give the public a break - The FAKE NEWS media is trying to say that large scale immigration in Sweden is working out just beautifully. NOT!
Sun Feb 19 21:57:01 +0000 2017,112115,833435244451753984,,False,26224,Twitter for Android,My statement as to what's happening in Sweden was in reference to a story that was broadcast on @FoxNews concerning immigrants &amp; Sweden.
Sat Feb 18 20:26:31 +0000 2017,162,833050081641234435,,False,37,Twitter for Android,"Getting ready to leave for Melbourne, Florida. See you all soon!"
Sat Feb 18 13:51:20 +0000 2017,99263,832950628750127106,,False,15213,Twitter for Android,"Will be having many meetings this weekend at The Southern White House. Big 5:00 P.M. speech in Melbourne, Florida. A lot to talk about!"
Sat Feb 18 13:31:53 +0000 2017,186074,832945737625387008,,False,39020,Twitter for Android,Don't believe the main stream (fake news) media.The White House is running VERY WELL. I inherited a MESS and am in the process of fixing it.
Sat Feb 18 00:02:58 +0000 2017,99028,832742165436579840,,False,14143,Twitter for Android,Looking forward to the Florida rally tomorrow. Big crowd expected!
Fri Feb 17 23:15:56 +0000 2017,120315,832730328108134402,,False,21751,Twitter for Android,"""One of the most effective press conferences I've ever seen!"" says Rush Limbaugh. Many agree.Yet FAKE MEDIA  calls it differently! Dishonest"
Fri Feb 17 21:48:22 +0000 2017,162368,832708293516632065,,False,52654,Twitter for Android,"The FAKE NEWS media (failing @nytimes, @NBCNews, @ABC, @CBS, @CNN) is not my enemy, it is the enemy of the American People!"
Fri Feb 17 21:32:29 +0000 2017,247,832704292993847296,,False,112,Twitter for Android,"The FAKE NEWS media (failing @nytimes, @CNN, @NBCNews and many more)    is not my enemy, it is the enemy of the American people. SICK!"
Fri Feb 17 15:34:14 +0000 2017,56533,832614137586933760,,False,9912,Twitter for iPhone,"Join me at 11:00am:
Watch here: https://t.co/veqKmsGAwf https://t.co/UzndIjIqjM"
Fri Feb 17 13:16:22 +0000 2017,69643,832579442790772736,,False,10955,Twitter for iPhone,"General Keith Kellogg, who I have known for a long time, is very much in play for NSA - as are three others."
Fri Feb 17 11:43:10 +0000 2017,150763,832555987299082242,,False,26347,Twitter for Android,Thank you for all of the nice statements on the Press Conference yesterday. Rush Limbaugh said one of greatest ever. Fake media not happy!
Fri Feb 17 11:38:20 +0000 2017,99095,832554772318322688,,False,14334,Twitter for Android,"Going to Charleston, South Carolina, in order to spend time with Boeing and talk jobs! Look forward to it."
Fri Feb 17 10:13:32 +0000 2017,102948,832533430168608768,,False,17252,Twitter for Android,"Despite the long delays by the Democrats in finally approving Dr. Tom Price, the repeal and replacement of ObamaCare is moving fast!"
Thu Feb 16 23:44:54 +0000 2017,93656,832375230274400256,,False,18722,Twitter for iPhone,'Trump signs bill undoing Obama coal mining rule' https://t.co/yMfT5r5RGh
Thu Feb 16 14:39:52 +0000 2017,121137,832238070460186625,,False,27003,Twitter for Android,"The Democrats had to come up with a story as to why they lost the election, and so badly (306), so they made up a story - RUSSIA. Fake news!"
Thu Feb 16 14:10:49 +0000 2017,99214,832230758299340800,,False,19854,Twitter for Android,"FAKE NEWS media, which makes up stories and ""sources,"" is far more effective than the discredited Democrats - but they are fading fast!"
Thu Feb 16 12:02:59 +0000 2017,126205,832198588201594880,,False,25247,Twitter for Android,The spotlight has finally been put on the low-life leakers! They will be caught!
Thu Feb 16 11:58:43 +0000 2017,89827,832197515248275456,,False,17274,Twitter for Android,"Leaking, and even illegal classified leaking, has been a big problem in Washington for years. Failing @nytimes (and others) must apologize!"
Thu Feb 16 11:34:46 +0000 2017,127764,832191485701451777,,False,23643,Twitter for Android,Stock market hits new high with longest winning streak in decades. Great level of confidence and optimism - even before tax plan rollout!
Wed Feb 15 23:59:26 +0000 2017,110166,832016501657968640,,False,53977,Twitter for iPhone,"Venezuela should allow Leopoldo Lopez, a political prisoner &amp; husband of @liliantintori (just met w/ @marcorubio) o… https://t.co/HhgE51dtSN"
Wed Feb 15 21:34:05 +0000 2017,58732,831979921555742732,,False,14576,Twitter for iPhone,"Aetna CEO: Obamacare in 'Death Spiral' #RepealAndReplace 
https://t.co/dmHL7xIEQv"
Wed Feb 15 19:45:16 +0000 2017,72138,831952535544070145,,False,17852,Twitter for iPhone,"Join me in Florida this Saturday at 5pm for a rally at the Orlando-Melbourne International Airport!
Tickets:… https://t.co/OigfXFECPp"
Wed Feb 15 19:17:59 +0000 2017,74512,831945670324060164,,False,14224,Twitter for iPhone,"Welcome to the United States, @IsraeliPM Benjamin &amp; Sara!
#ICYMI🇺🇸🇮🇱Joint Press Conference: 
https://t.co/GN6ALWUusN https://t.co/bH60nBL5FP"
Wed Feb 15 16:34:27 +0000 2017,66081,831904516316479489,,False,10692,Twitter for iPhone,Great listening session with CEO's of the Retail Industry Leaders Association this morning! https://t.co/sy6xJcWfcF
Wed Feb 15 13:13:10 +0000 2017,128448,831853862281699331,,False,31903,Twitter for Android,"The real scandal here is that classified information is illegally given out by ""intelligence"" like candy. Very un-American!"
Wed Feb 15 12:42:20 +0000 2017,100698,831846101179314177,,False,25351,Twitter for Android,Crimea was TAKEN by Russia during the Obama Administration. Was Obama too soft on Russia?
Wed Feb 15 12:28:37 +0000 2017,77692,831842652085686273,,False,16346,Twitter for Android,"Thank you to Eli Lake of The Bloomberg View - ""The NSA &amp; FBI...should not interfere in our politics...and is"" Very serious situation for USA"
Wed Feb 15 12:19:18 +0000 2017,80376,831840306161123328,,False,21143,Twitter for Android,Information is being illegally given to the failing @nytimes &amp; @washingtonpost by the intelligence community (NSA and FBI?).Just like Russia
Wed Feb 15 12:08:12 +0000 2017,117900,831837514226921472,,False,27541,Twitter for Android,This Russian connection non-sense is merely an attempt to cover-up the many mistakes made in Hillary Clinton's losing campaign.
Wed Feb 15 11:40:32 +0000 2017,104434,831830548565852160,,False,25838,Twitter for Android,The fake news media is going crazy with their conspiracy theories and blind hatred. @MSNBC &amp; @CNN are unwatchable. @foxandfriends is great!
Tue Feb 14 22:50:33 +0000 2017,87852,831636777110757377,,False,17872,Twitter for iPhone,"Obamacare continues to fail. Humana to pull out in 2018. Will repeal, replace &amp; save healthcare for ALL Americans. 
https://t.co/glWEQ0lNR4"
Tue Feb 14 21:48:10 +0000 2017,46093,831621079747723264,,False,8503,Twitter for iPhone,"'Remarks by President Trump at Signing of H.J. Resolution 41'
https://t.co/Q3MoCGAc54 https://t.co/yGDDTKm9Br"
Tue Feb 14 20:21:59 +0000 2017,59006,831599387906301952,,False,11349,Twitter for iPhone,Great parent-teacher listening session this morning with @VP Pence &amp; @usedgov Secretary @BetsyDeVos. Watch:… https://t.co/nuLTs513Ot
Tue Feb 14 14:28:54 +0000 2017,111318,831510532318429184,,False,26588,Twitter for Android,The real story here is why are there so many illegal leaks coming out of Washington? Will these leaks be happening as I deal on N.Korea etc?
Tue Feb 14 03:30:45 +0000 2017,90851,831344902990655489,,False,16252,Twitter for iPhone,Congratulations to our new #VASecretary Dr. David Shulkin. Time to take care of Veterans who have fought to protect… https://t.co/FNewjbHuw4
Tue Feb 14 02:57:05 +0000 2017,63937,831336432073658368,,False,10918,Twitter for iPhone,Congratulations Treasury Secretary Steven Mnuchin! #ICYMI- watch here: https://t.co/RPsmw4yD7y https://t.co/K8tWLlXiYK
Mon Feb 13 18:50:57 +0000 2017,85397,831214091993751552,,False,15431,Twitter for iPhone,Wonderful meeting with Canadian PM @JustinTrudeau and a group of leading CEO's &amp; business women from Canada🇨🇦and th… https://t.co/wAoCOaYeZ6
Mon Feb 13 16:59:06 +0000 2017,84754,831185943482793986,,False,13466,Twitter for iPhone,Welcome to the @WhiteHouse Prime Minister @JustinTrudeau! https://t.co/WKgF8Zo9ri
Mon Feb 13 15:53:08 +0000 2017,74360,831169341358014475,,False,11763,Twitter for iPhone,Today I will meet with Canadian PM Trudeau and a group of leading business women to discuss women in the workforce. https://t.co/bFAHPRXHdP
Sun Feb 12 22:19:05 +0000 2017,141359,830904083519242241,,False,25504,Twitter for Android,Just leaving Florida. Big crowds of enthusiastic supporters lining the road that the FAKE NEWS media refuses to mention. Very dishonest!
Sun Feb 12 15:41:55 +0000 2017,102935,830804130692268032,,False,16088,Twitter for iPhone,Congratulations Stephen Miller- on representing me this morning on the various Sunday morning shows. Great job!
Sun Feb 12 13:23:18 +0000 2017,82264,830769247185952772,,False,15285,Twitter for Android,I know Mark Cuban well. He backed me big-time but I wasn't interested in taking all of his calls.He's not smart enough to run for president!
Sun Feb 12 13:04:49 +0000 2017,82736,830764596235485188,,False,13121,Twitter for Android,"After two days of very productive talks, Prime Minister Abe is heading back to Japan. L"
Sun Feb 12 12:14:16 +0000 2017,113074,830751875578355713,,False,25000,Twitter for Android,"While on FAKE NEWS @CNN, Bernie Sanders was cut off for using the term fake news to describe the network. They said technical difficulties!"
Sun Feb 12 11:55:10 +0000 2017,80492,830747067379232769,,False,22544,Twitter for Android,"72% of refugees admitted into U.S. (2/3 -2/11) during COURT BREAKDOWN are from 7 countries: SYRIA, IRAQ, SOMALIA, IRAN, SUDAN, LIBYA &amp; YEMEN"
Sun Feb 12 11:34:45 +0000 2017,148471,830741932099960834,,False,29437,Twitter for Android,"The crackdown on illegal criminals is merely the keeping of my campaign promise. Gang members, drug dealers &amp; others are being removed!"
Sun Feb 12 05:02:01 +0000 2017,62151,830643095150657536,,False,14676,Twitter for iPhone,#ICYMI: Joint Statement with Prime Minister Shinzo Abe on North Korea. https://t.co/qEC87FKB1D
Sun Feb 12 03:23:13 +0000 2017,0,830618234726543360,,True,4810,Twitter for iPhone,RT @Scavino45: LIVE Joint Statement by President Trump and Prime Minister Shinzo Abe: https://t.co/c3Fe5cUaaS
Sat Feb 11 23:24:08 +0000 2017,97579,830558065715998726,,False,13843,Twitter for Android,"A working dinner tonight with Prime Minister Abe of Japan, and his representatives, at the Winter White House (Mar-a-Lago). Very good talks!"
Sat Feb 11 23:15:34 +0000 2017,84098,830555911559249926,,False,13298,Twitter for iPhone,"Played golf today with Prime Minister Abe of Japan and @TheBig_Easy, Ernie Els, and had a great time. Japan is very well represented!"
Sat Feb 11 23:07:52 +0000 2017,1,830553970225590277,,False,8,Twitter for Android,"Playef golf today with Prime Minister Abe of Japan and @TheBig_Easy, Ernie Els, and had a great time. Japan is very well represented!"
Sat Feb 11 23:00:21 +0000 2017,207438,830552079240409089,,False,28439,Twitter for Android,"I am so proud of my daughter Ivanka. To be abused and treated so badly by the media, and to still hold her head so high, is truly wonderful!"
Sat Feb 11 18:28:31 +0000 2017,92194,830483672096768001,,False,16879,Twitter for iPhone,"Having a great time hosting Prime Minister Shinzo Abe in the United States! 
https://t.co/Fvjsac89qS… https://t.co/hKqbMB2aQ9"
Sat Feb 11 13:33:53 +0000 2017,120072,830409522397184000,,False,16875,Twitter for Android,"Melania and I are hosting Japanese Prime Minister Shinzo Abe and Mrs. Abe at Mar-a-Lago in Palm Beach, Fla. They are a wonderful couple!"
Sat Feb 11 13:24:32 +0000 2017,83752,830407172747988992,,False,12905,Twitter for Android,"...design or negotiations yet. When I do, just like with the F-35 FighterJet or the Air Force One Program, price will come WAY DOWN!"
Sat Feb 11 13:18:43 +0000 2017,77068,830405706255912960,,False,14024,Twitter for Android,"I am reading that the great border WALL will cost more than the government originally thought, but I have not gotten involved in the....."
Sat Feb 11 12:12:51 +0000 2017,101179,830389130311921667,,False,23082,Twitter for Android,"Our legal system is broken! ""77% of refugees allowed into U.S. since travel reprieve hail from seven suspect countries."" (WT)  SO DANGEROUS!"
Fri Feb 10 23:24:51 +0000 2017,160212,830195857530183684,,False,40351,Twitter for iPhone,Heading to Joint Base Andrews on #MarineOne with Prime Minister Shinzō earlier today. https://t.co/4JFhyYdeHO
Fri Feb 10 13:35:50 +0000 2017,106953,830047626414477312,,False,23732,Twitter for Android,"The failing @nytimes does major FAKE NEWS China story saying ""Mr.Xi has not spoken to Mr. Trump since Nov.14."" We spoke at length yesterday!"
Fri Feb 10 13:15:27 +0000 2017,89202,830042498806460417,,False,17556,Twitter for Android,"LAWFARE: ""Remarkably, in the entire opinion, the panel did not bother even to cite this (the) statute."" A disgraceful decision!"
Thu Feb 09 23:35:49 +0000 2017,237614,829836231802515457,,False,67448,Twitter for Android,"SEE YOU IN COURT, THE SECURITY OF OUR NATION IS AT STAKE!"
Thu Feb 09 15:58:01 +0000 2017,71140,829721019720015872,,False,10756,Twitter for iPhone,"Join us live in the Oval Office for the swearing in of our new Attorney General, @SenatorSessions!
LIVE:… https://t.co/QeW6vjog4A"
Thu Feb 09 13:52:31 +0000 2017,91185,829689436279603206,,False,14900,Twitter for Android,"..Ryan died on a winning mission ( according to General Mattis), not a ""failure."" Time for the U.S. to get smart and start winning again!"
Thu Feb 09 13:31:59 +0000 2017,67986,829684271812067328,,False,11801,Twitter for Android,"...long he doesn't know how to win anymore, just look at the mess our country is in - bogged down in conflict all over the place. Our hero.."
Thu Feb 09 13:26:07 +0000 2017,85781,829682794951475200,,False,15800,Twitter for Android,Sen. McCain should not be talking about the success or failure of a mission to the media. Only emboldens the enemy! He's been losing so....
Thu Feb 09 13:19:08 +0000 2017,73700,829681034564341760,,False,14894,Twitter for Android,"Chris Cuomo, in his interview with Sen. Blumenthal, never asked him about his long-term lie about his brave ""service"" in Vietnam. FAKE NEWS!"
Thu Feb 09 11:57:59 +0000 2017,84674,829660612452036608,,False,19352,Twitter for Android,"Sen.Richard Blumenthal, who never fought in Vietnam when he said for years he had (major lie),now misrepresents what Judge Gorsuch told him?"
Thu Feb 09 01:05:53 +0000 2017,163235,829496507841789952,,False,32534,Twitter for iPhone,"Congratulations to our new Attorney General, @SenatorSessions! https://t.co/e0buP1K83z"
Wed Feb 08 22:07:18 +0000 2017,87896,829451566000242688,,False,17626,Twitter for iPhone,"'Trump administration seen as more truthful than news media'
https://t.co/6LmsR5JOSW"
Wed Feb 08 21:46:14 +0000 2017,83029,829446266111287305,,False,21885,Twitter for iPhone,"'Majority in Leading EU Nations Support Trump-Style Travel Ban' 
Poll of more than 10,000 people in 10 countries...https://t.co/KWsIWhtC9o"
Wed Feb 08 19:39:51 +0000 2017,123007,829414457126313986,,False,30541,Twitter for iPhone,'Immigration Ban Is One Of Trump's Most Popular Orders So Far' https://t.co/wAelwuQ4BE
Wed Feb 08 19:22:33 +0000 2017,97758,829410107406614534,,False,22030,Twitter for iPhone,"Thank you Brian Krzanich, CEO of @Intel. A great investment ($7 BILLION) in American INNOVATION and JOBS!… https://t.co/oicfDsPKHQ"
Wed Feb 08 17:41:09 +0000 2017,88547,829384587482656768,,False,17539,Twitter for Android,"Big increase in traffic into our country from certain areas, while our people are far more vulnerable, as we wait for what should be EASY D!"
Wed Feb 08 15:54:01 +0000 2017,64126,829357626798530561,,False,19076,Twitter for iPhone,'16 Fake News Stories Reporters Have Run Since Trump Won' https://t.co/0dHld5kiVc
Wed Feb 08 15:51:01 +0000 2017,142427,829356871848951809,,False,27189,Twitter for iPhone,My daughter Ivanka has been treated so unfairly by @Nordstrom. She is a great person -- always pushing me to do the right thing! Terrible!
Wed Feb 08 15:23:29 +0000 2017,90091,829349943613734912,,False,16188,Twitter for iPhone,Thank you to our great Police Chiefs &amp; Sheriffs for your leadership &amp; service. You have a true friend in the… https://t.co/Lysnv8ZR1h
Wed Feb 08 13:04:47 +0000 2017,74978,829315036329963521,,False,10807,Twitter for Android,"I will be speaking at 9:00 A.M. today to Police Chiefs and Sheriffs and will be discussing the horrible, dangerous and wrong decision......."
Wed Feb 08 12:03:18 +0000 2017,114959,829299566344359936,,False,22277,Twitter for Android,"If the U.S. does not win this case as it so obviously should, we can never have the security and safety to which we are entitled. Politics!"
Wed Feb 08 01:04:00 +0000 2017,157210,829133645055135750,,False,36410,Twitter for Android,"It is a disgrace that my full Cabinet is still not in place, the longest such delay in the history of our country. Obstruction by Democrats!"
Tue Feb 07 16:25:13 +0000 2017,108216,829003091735359488,,False,18399,Twitter for iPhone,An honor having the National Sheriffs' Assoc. join me at the @WhiteHouse. Incredible men &amp; women who protect &amp; serv… https://t.co/1LkhbCNh8L
Tue Feb 07 12:11:29 +0000 2017,188271,828939235499638784,,False,50474,Twitter for iPhone,"I don't know Putin, have no deals in Russia, and the haters are going crazy - yet Obama can make a deal with Iran, #1 in terror, no problem!"
Tue Feb 07 12:04:01 +0000 2017,2,828937357147635713,,False,2,Twitter for Android,"I don't know Putin, have no deals in Russia, and the haters are going crazy - yet Obama can make a deal with Iran, #1in terror, no problem!"
Tue Feb 07 02:49:28 +0000 2017,145673,828797801630937089,,False,32538,Twitter for Android,"The threat from radical Islamic terrorism is very real, just look at what is happening in Europe and the Middle-East. Courts must act fast!"
Tue Feb 07 02:33:55 +0000 2017,91894,828793887275761665,,False,16419,Twitter for Android,The failing @nytimes was forced to apologize to its subscribers for the poor reporting it did on my election win. Now they are worse!
Mon Feb 06 23:33:52 +0000 2017,53603,828748574255091714,,False,8058,Twitter for iPhone,An extended interview from the Super Bowl with @oreillyfactor airs tonight at 8:00 P.M. Enjoy! https://t.co/kZdHqaNTVR
Mon Feb 06 16:32:24 +0000 2017,96642,828642511698669569,,False,19275,Twitter for Android,"The failing @nytimes writes total fiction concerning me. They have gotten it wrong for two years, and now are making up stories &amp; sources!"
Mon Feb 06 16:27:45 +0000 2017,18,828641340313460736,,False,6,Twitter for Android,Will be interviewed on @oreillyfactor tonight at 8:00 P.M.
Mon Feb 06 12:07:55 +0000 2017,125344,828575949268606977,,False,23963,Twitter for Android,"I call my own shots, largely based on an accumulation of data, and everyone knows it. Some FAKE NEWS media, in order to marginalize, lies!"
Mon Feb 06 12:01:53 +0000 2017,161819,828574430800539648,,False,36259,Twitter for Android,"Any negative polls are fake news, just like the CNN, ABC, NBC polls in the election. Sorry, people want border security and extreme vetting."
Mon Feb 06 03:36:54 +0000 2017,267584,828447350200926212,,False,72934,Twitter for Android,"What an amazing comeback and win by the Patriots. Tom Brady, Bob Kraft and Coach B are total winners. Wow!"
